Product_Name,Price (in Rs),Rating (out of 5)
"Apple iPhone 7 (Black, 32 GB)",29499,4.5
"Apple iPhone 7 Plus (Black, 32 GB)",36999,4.5
"Apple iPhone 7 Plus (Rose Gold, 32 GB)",36999,4.5
"Apple iPhone 11 (Black, 64 GB)",68300,4.7
"Apple iPhone 11 (Purple, 64 GB)",68300,4.7
"Apple iPhone 7 Plus (Gold, 32 GB)",36999,4.5
"Apple iPhone XS (Gold, 64 GB)",62999,4.7
"Apple iPhone 8 (Space Grey, 64 GB)",38999,4.5
"Apple iPhone 11 (Black, 128 GB)",73600,4.7
"Apple iPhone 8 (Silver, 64 GB)",38999,4.5
"Apple iPhone 11 (Green, 64 GB)",68300,4.7
"Apple iPhone XS (Space Grey, 64 GB)",62999,4.7
"Apple iPhone XS (Silver, 64 GB)",62999,4.7
"Apple iPhone XR (Black, 128 GB)",57800,4.6
"Apple iPhone XR (Blue, 64 GB)",52500,4.6
"Apple iPhone 11 (Yellow, 128 GB)",73600,4.7
"Apple iPhone 11 (Red, 64 GB)",68300,4.7
"Apple iPhone XR (White, 64 GB)",52500,4.6
"Apple iPhone XR (Coral, 128 GB)",57800,4.6
"Apple iPhone 7 (Rose Gold, 32 GB)",29499,4.5
"Apple iPhone XR (Coral, 64 GB)",52500,4.6
"Apple iPhone 11 (Green, 128 GB)",73600,4.7
"Apple iPhone 6s (Space Grey, 32 GB)",25299,4.5
"Apple iPhone 11 (Purple, 128 GB)",73600,4.7
